source,target,tgt_lng
agent,에이전트,
environment,환경,
state,상태,
action,행동,
reward,보상,
return,이득,
policy,정책,
episode,에피소드,
trajectory,궤적,
transition,전이,
terminal state,종단 상태,
episodic task,에피소드형 과제,
continuing task,연속형 과제,
time step,시간 단계,
value function,가치 함수,
state-value function,상태 가치 함수,
action-value function,행동 가치 함수,
optimal policy,최적 정책,
optimal value function,최적 가치 함수,
Bellman equation,벨만 방정식,
Bellman optimality equation,벨만 최적 방정식,
afterstate,사후 상태,
expected value,기댓값,
Markov decision process,마르코프 결정 과정,
Markov property,마르코프 성질,
dynamics,동역학,
dynamic programming,동적 프로그래밍,
policy evaluation,정책 평가,
policy improvement,정책 개선,
policy iteration,정책 반복,
value iteration,가치 반복,
generalized policy iteration,일반화된 정책 반복,
sweep,일소,
bootstrapping,부트스트랩,
Monte Carlo,몬테카를로,
exploring starts,탐험 시작,
temporal-difference learning,시간차 학습,
TD error,시간차 오차,
Sarsa,살사(Sarsa),
Expected Sarsa,기댓값 살사,
Q-learning,Q 학습,
Double Q-learning,이중 Q 학습,
n-step,n단계,
eligibility trace,적격 흔적,
maximization bias,최대화 편향,
on-policy,활성 정책,
off-policy,비활성 정책,
behavior policy,행동 정책,
target policy,목표 정책,
importance sampling,중요도 샘플링,
ordinary importance sampling,일반 중요도 샘플링,
weighted importance sampling,가중 중요도 샘플링,
exploration,탐험,
exploitation,활용,
greedy,탐욕적,
epsilon-greedy,엡실론 탐욕,
multi-armed bandit,다중 손잡이 밴딧,
k-armed bandit,k-손잡이 밴딧,
upper confidence bound,신뢰 상한,
gradient bandit,경사도 밴딧,
sample average,표본 평균,
stationary,정상(定常),
nonstationary,비정상(非定常),
function approximation,함수 근사,
linear function approximation,선형 함수 근사,
feature vector,특징 벡터,
weight vector,가중치 벡터,
tile coding,타일 부호화,
coarse coding,성긴 부호화,
radial basis function,방사 기저 함수,
state aggregation,상태 집계,
semi-gradient,준경사,
stochastic gradient descent,확률적 경사 하강,
step-size parameter,스텝 크기 파라미터,
learning rate,학습률,
generalization,일반화,
discrimination,분별력,
deadly triad,죽음의 삼요소,
projected Bellman error,사영 벨만 오차,
policy gradient,정책 경사,
policy parameterization,정책 파라미터화,
actor-critic,행위자-비평자,
advantage,이점,
baseline,기준선,
REINFORCE,REINFORCE,
policy gradient theorem,정책 경사 정리,
soft-max,소프트맥스,
planning,계획,
model-based,모델 기반,
model-free,무모델,
distribution model,분포 모델,
sample model,표본 모델,
prioritized sweeping,우선순위 일소,
rollout,롤아웃,
Monte Carlo tree search,몬테카를로 트리 탐색,
trajectory sampling,궤적 표집,
expected update,기댓값 갱신,
sample update,표본 갱신,
backup diagram,보강 다이어그램,
discounting,감가,
discount rate,감가율,
convergence,수렴,
variance,분산,
bias,편향,
supervised learning,지도 학습,
reinforcement learning,강화학습,
credit assignment,신용 할당,
curse of dimensionality,차원의 저주,
